run,annotation_id,source_id,title,gold_triage_class,pred_triage_class,gold_notes,model_notes,model_evidence,url,correct,error_type
qwen7b_hierarchical,ann_0003,so_media_2023_mai,Mobilitätskonzept Wasseramt: So soll sich die Region künftig entwickeln - Kanton Solothurn,needs_review,not_relevant,Mobilitätskonzept mit Massnahmenideen. Keine konkrete neue TLM Geometrie.,The source text discusses a mobility concept and future development plans but does not mention any specific geometry or topology changes.,Keine spezifischen Geometrie- oder Topologieänderungen erwähnt.,https://so.ch/verwaltung/staatskanzlei/medien/medienarchiv-2023/mai/mai-2023/news/mobilitaetskonzept-wasseramt-so-soll-sich-die-region-kuenftig-entwickeln/,False,needs_review_to_not_relevant
qwen7b_hierarchical,ann_0010,so_media_2025_februar,Die Mobilitätsdrehscheibe Bahnhof Solothurn Süd nimmt Fahrt auf - Kanton Solothurn,confirmed_relevant,not_relevant,Neue direkte Fuss und Veloverbindung in der Nord Süd Achse beim Bahnhof Solothurn Süd schafft eine eigenständige Netzverbindung.,The source text discusses planning and funding for a project but does not mention any concrete geometry updates.,no concrete geometry updates mentioned,https://so.ch/verwaltung/staatskanzlei/medien/medienarchiv-2025/februar/februar-2025/news/die-mobilitaetsdrehscheibe-bahnhof-solothurn-sued-nimmt-fahrt-auf/,False,confirmed_relevant_to_not_relevant
qwen7b_hierarchical,ann_0024,so_media_2025_oktober,Regierungsratssitzung vom 28. Oktober 2025 - Kanton Solothurn,needs_review,not_relevant,Nur Beschlusstitel zu Drehscheibe und Strassensanierung. Geometrische Details fehlen.,No TLM geometry update signals present.,No concrete geometry or topology triggers mentioned.,https://so.ch/verwaltung/staatskanzlei/medien/medienarchiv-2025/oktober/oktober-2025/news/regierungsratssitzung-vom-28-oktober-2025/,False,needs_review_to_not_relevant
qwen7b_hierarchical,ann_0047,so_media_2024_oktober,Regierungsratssitzung vom 29. Oktober 2024 - Kanton Solothurn,needs_review,not_relevant,Verkehrskonzept gegen Ausweichverkehr nur als Beschlusstitel. Keine konkrete Geometrie.,No concrete geometry or topology updates mentioned.,Keine konkreten Geometrie- oder Topologieänderungen erwähnt.,https://so.ch/verwaltung/staatskanzlei/medien/medienarchiv-2024/oktober/oktober-2024/news/regierungsratssitzung-vom-29-oktober-2024/,False,needs_review_to_not_relevant
qwen7b_hierarchical,ann_0080,lu_vif_baustellen,Römerswil: Sanierung Kantonsstrasse und Bushaltestelle - Kanton Luzern,needs_review,not_relevant,"Sanierung und Bushaltestellenausbau nach Normen, aber keine explizite TLM relevante Geometrieänderung.",No concrete geometry or topology changes are mentioned.,,https://vif.lu.ch/kantonsstrassen/baustellen/roemerswil,False,needs_review_to_not_relevant
qwen7b_hierarchical,ann_0088,lu_vif_planung_studien,Neugestaltung Seetalstrasse Emmen Dorf - Kanton Luzern,needs_review,not_relevant,"Gestaltungskonzept mit Radstreifen, Busspur und Schutzinseln, aber noch Planungsstand ohne klare umzusetzende TLM Geometrie.",No concrete geometry or topology changes are mentioned in the source text.,"Planung und Gespräche mit der betroffenen Bevölkerung führen zu einem Konzept, das die Situation für den öffentlichen sowie den Fuss- und Veloverkehr verbessert.",https://vif.lu.ch/kantonsstrassen/planung_studien/seetalstrasse_emmen_dorf,False,needs_review_to_not_relevant
qwen7b_hierarchical,ann_0090,lu_vif_planung_studien,Sanierung Gerliswilstrasse - Kanton Luzern,needs_review,not_relevant,"Sanierung und neue Ausgestaltung mit Busführung und eingeschränkten Erschliessungen, aber keine explizite Geometrieänderung.","The source text describes various improvements and measures for the Gerliswilstrasse, including speed limits, bike lanes, and parking changes, but does not mention any concrete geometry updates such as new roads, paths, or significant changes to existing ones.",no concrete geometry updates mentioned,https://vif.lu.ch/kantonsstrassen/planung_studien/Gerliswilstrasse,False,needs_review_to_not_relevant
qwen7b_hierarchical,ann_0106,zg_tba_strassenprojekte,"KS 381, Denkmal Morgarten, Oberägeri",confirmed_relevant,needs_review,Durchgehender Rad- und Gehweg sowie erweiterte Gehwegverbindung schaffen ein dauerhaftes Langsamverkehrselement.,Plausible future geometry changes mentioned but no concrete evidence provided.,"seeseitiges Trottoir wird für einen durchgehenden Rad- und Gehweg auf rund 3,5 m verbreitert. Bergseitiges Trottoir wird erweitert.",https://zg.ch/de/planen-bauen/tiefbau/strassenprojekte/denkmal-morgarten,False,confirmed_relevant_to_needs_review
qwen7b_hierarchical,ann_0108,zg_tba_strassenprojekte,Fokusstudie Mobilität Ägerital,needs_review,not_relevant,"Fokusstudie mit Handlungsfeldern, aber ohne konkretes Bauprojekt oder definierte Geometrie.",The source text is about a mobility focus study and does not contain any concrete geometry or topology updates.,"Projektinformationen, Handlungsfelder, Termine, Analysephase der Fokusstudien, Verkehrserhebungen",https://zg.ch/de/planen-bauen/tiefbau/strassenprojekte/fokusstudie_mobilitaet_aegerital,False,needs_review_to_not_relevant
qwen7b_hierarchical,ann_0115,zg_tba_strassenprojekte,"KS F, Hinterbergstrasse, FG-Übergang, Cham",needs_review,not_relevant,"Neues Trottoir und Fussgängerübergang sind genannt, aber eigenständige TLM Weggeometrie bleibt unklar.",No concrete geometry or topology changes are mentioned.,"Projektinformationen, Trottoir, Fussgängerübergang, Strassenbeleuchtung, Veloquerung",https://zg.ch/de/planen-bauen/tiefbau/strassenprojekte/ks-f_hinterbertstrasse_fg-uebergang_cham,False,needs_review_to_not_relevant
qwen7b_hierarchical,ann_0150,bs_bauprojekte_tiefbau,Erneuerung Laupenring,needs_review,not_relevant,"Veloführung, Velostreifenaufhebung und Fahrbahnbreite zugunsten Grünflächen, aber keine separate neue Achse oder Netzänderung.",No concrete geometry or topology changes are mentioned.,,https://www.bs.ch/schwerpunkte/bauprojekte/seiten/bauprojekte-fuer-strassen-gruenanlagen-gewaesser/erneuerung-laupenring,False,needs_review_to_not_relevant
qwen7b_hierarchical,ann_0151,bs_bauprojekte_tiefbau,Erneuerung Lehenmattstrasse,confirmed_relevant,not_relevant,Ein bestehender Velostreifen wird zu einem abgetrennten Veloweg und damit zu einer eigenständigen Weggeometrie.,No concrete geometry or topology changes are mentioned.,Keine konkreten Geometrie- oder Topologieänderungen werden erwähnt.,https://www.bs.ch/bauprojekte/bauprojekte-fuer-strassen-gruenanlagen-gewaesser/erneuerung-lehenmattstrasse,False,confirmed_relevant_to_not_relevant
qwen7b_hierarchical,ann_0170,bs_bauprojekte_tiefbau,Projektwettbewerb Solitude-Promenade,needs_review,not_relevant,"Projektwettbewerb zur Promenadenumgestaltung, aber noch keine konkrete bauliche Weggeometrie.",The source text does not contain any concrete geometry or topology updates.,,https://www.bs.ch/bauprojekte/tiefbauprojekte/projektwettbewerb-solitude-promenade,False,needs_review_to_not_relevant
qwen7b_hierarchical,ann_0178,bs_bauprojekte_tiefbau,Tram Margarethenverbindung,needs_review,not_relevant,"Neue Tramstrecke und Bezug zu späteren Umbauten, aber keine konkrete Strassen- oder Weggeometrie in dieser Source.",The source text describes the benefits and planning aspects of the Margarethenverbindung but does not mention any concrete geometry or topology changes.,Keine konkreten Geometrie- oder Topologieänderungen erwähnt.,https://www.bs.ch/schwerpunkte/bauprojekte/seiten/bauprojekte-fuer-strassen-gruenanlagen-gewaesser/tram-margarethenverbindung,False,needs_review_to_not_relevant
qwen7b_hierarchical,ann_0189,sg_planauflagen_kantonsstrassen,"Gams: FGS 811, Feuerwehrdepot - O9.010.005.2901; Öffentliche Planauflage vom 25. März bis 23. April 2026",needs_review,not_relevant,Planauflage zu Fussgängerstreifen ohne Projektbeschreibung; mögliche lokale Geometrie bleibt nur in Unterlagen prüfbar.,No concrete geometry or topology triggers mentioned.,,https://www.sg.ch/bauen/tiefbau/oeffentliche-planauflagen-kantonsstrassenprojekte/abgeschlossene-planauflagen/garns--fgs-811--feuerwehrdepot---o9-010-005-2901--oeffentliche-p.html,False,needs_review_to_not_relevant
qwen7b_hierarchical,ann_0213,sg_planauflagen_kantonsstrassen,"Flawil: Geh- und Radweg Scheidwegkreisel, Bogenstrasse - B79.5.010.017; Öffentliche Planauflage vom 22. April bis 21. Mai 2026",confirmed_relevant,not_relevant,Planauflage für Geh und Radweg zwischen Scheidwegkreisel und Bogenstrasse beschreibt eine neue dauerhafte Langsamverkehrsverbindung.,No concrete geometry or topology triggers mentioned.,,https://www.sg.ch/bauen/tiefbau/oeffentliche-planauflagen-kantonsstrassenprojekte/laufende-planauflagen/flawil--geh--und-radweg-scheidwegkreisel--bogenstrasse---b79-5-0.html,False,confirmed_relevant_to_not_relevant
qwen7b_hierarchical,ann_0250,be_region_berner_oberland,Sanierung Ortsdurchfahrt Matten,needs_review,not_relevant,"Ortsdurchfahrtssanierung mit Querungslösungen und Gestaltung, aber ohne belegte neue Linienführung oder Netzverbindung.",The source text focuses on planning and digitalization strategies without mentioning any concrete geometry updates.,Keine konkreten Geometrieeinheiten oder Topologieänderungen erwähnt.,https://www.kantonsstrassen-projekte.bvd.be.ch/de/start/region-berner-oberland/sanierung-ortsdurchfahrt-matten.html,False,needs_review_to_not_relevant
qwen7b_hierarchical,ann_0255,be_region_berner_mittelland,Neue Haltestelle Guisanplatz Bern,needs_review,confirmed_relevant,Tramhaltestelle und Tramführung sind primär ÖV Infrastruktur; konkrete Änderung der TLM Strassengeometrie ist nicht belegt.,Tram haltestelle Guisanplatz verschoben und neue Einbiegung von Rodtmattstrasse in Papiermühlestrasse geplant.,Die Tramhaltestelle Guisanplatz im Norden von Bern soll ab 2026 an die Papiermühlestrasse verschoben werden. Das Nünitram soll künftig von der Rodtmattstrasse direkt in die Papiermühlestrasse einbiegen.,https://www.kantonsstrassen-projekte.bvd.be.ch/de/start/region-berner-mittelland/neue-haltestelle-guisanplatz-bern.html,False,needs_review_to_confirmed_relevant
qwen7b_hierarchical,ann_0272,be_region_berner_mittelland,Sanierung Ortsdurchfahrt Stettlen,confirmed_relevant,needs_review,Fussgängerstreifen mit Mittelinseln und durchgehende Trottoirs verändern lokale Geometrieelemente der Strasse.,The source contains planning and future intentions but no concrete geometry or topology changes are explicitly mentioned.,Planned future intentions for improving the street layout and safety features.,https://www.kantonsstrassen-projekte.bvd.be.ch/de/start/region-berner-mittelland/sanierung-ortsdurchfahrt-stettlen.html,False,confirmed_relevant_to_needs_review
qwen7b_hierarchical,ann_0273,be_region_berner_mittelland,Sanierung Ortsdurchfahrt Biglen,confirmed_relevant,not_relevant,Neubau eines Kreisels und Anpassung mehrerer Einmündungen führen zu klarer Änderung der Netzstruktur und Knotenlogik.,No concrete geometry or topology changes are mentioned.,"Neubau des Kreisels Bahnhofstrasse, Ausgestaltung von Torsituationen, Mittelinseln, Farbige Bänder, Verbesserung Einmündungen, Ausbau Bushaltestellen, Verbreiterung Trottoirs, Anpassung angrenzender Plätze.",https://www.kantonsstrassen-projekte.bvd.be.ch/de/start/region-berner-mittelland/sanierung-ortsdurchfahrt-biglen.html,False,confirmed_relevant_to_not_relevant
qwen7b_hierarchical,ann_0285,zh_geplante_strassenprojekte,Geplantes Strassenprojekt Regensdorf Bahnhof Nord,confirmed_relevant,needs_review,Kreisel Ostring Feldstrasse wird zu Kreuzung mit Lichtsignalanlage umgebaut; Knotenlogik und Verkehrsverbindungen ändern sich.,The source contains planning information but no concrete geometry updates are mentioned.,"Projekte werden geplant, aber keine konkreten Geometrieänderungen sind erwähnt.",https://www.zh.ch/de/planen-bauen/tiefbau/geplante-strassenprojekte/strassenprojekt-regensdorf-bahnhof-nord.html,False,confirmed_relevant_to_needs_review
